PassedAndObstructedTimes,OverallYieldTimes
0,0
0,0
1,1
1,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
15,1
15,1
16,1
16,0.9411765
17,0.9444444
18,0.9473684
19,0.95
20,0.952381
21,0.9545454
22,0.9565217
22,0.9565217
22,0.9565217
23,0.9583333
24,0.96
25,0.9615384
26,0.962963
26,0.9285714
27,0.9310345
28,0.9333333
28,0.9032258
28,0.875
29,0.8787879
30,0.8823529
30,0.8571429
31,0.8611111
31,0.8611111
32,0.8648649
32,0.8648649
33,0.8684211
33,0.8684211
34,0.8717949
34,0.8717949
35,0.875
36,0.8780488
36,0.8780488
36,0.8571429
37,0.8604651
37,0.8409091
38,0.8444445
39,0.8478261
39,0.8297873
39,0.8297873
40,0.8333333
41,0.8367347
42,0.84
43,0.8431373
43,0.8269231
44,0.8301887
44,0.8301887
45,0.8333333
45,0.8333333
46,0.8363636
47,0.8392857
48,0.8421053
49,0.8448276
49,0.8448276
49,0.8448276
50,0.8474576
51,0.85
52,0.852459
53,0.8548387
53,0.8412699
54,0.84375
55,0.8461539
55,0.8461539
56,0.8484849
57,0.8507463
58,0.8529412
58,0.8529412
59,0.8550724
59,0.8550724
59,0.8550724
59,0.8550724
60,0.8571429
61,0.8591549
61,0.8472222
62,0.849315
63,0.8513514
64,0.8533334
65,0.8552632
66,0.8571429
67,0.8589743
67,0.8589743
68,0.8607595
69,0.8625
70,0.8641976
71,0.8658537
72,0.8674699
72,0.8571429
73,0.8588235
74,0.8604651
75,0.862069
75,0.862069
75,0.8522727
76,0.8539326
77,0.8555555
78,0.8571429
79,0.8586956
80,0.8602151
81,0.8617021
82,0.8631579
82,0.8631579
83,0.8645833
83,0.8645833
84,0.8659794
85,0.8673469
86,0.8686869
87,0.87
88,0.8712871
89,0.872549
90,0.8737864
90,0.8737864
91,0.875
92,0.8761905
93,0.8773585
94,0.8785047
95,0.8796296
96,0.880734
97,0.8818182
97,0.8818182
98,0.8828829
99,0.8839286
99,0.8839286
100,0.8849558
100,0.877193
100,0.877193
101,0.8782609
101,0.8782609
102,0.8793104
103,0.8803419
104,0.8813559
105,0.8823529
106,0.8833333
106,0.8760331
107,0.8770492
108,0.8780488
109,0.8790323
110,0.88
111,0.8809524
112,0.8818898
113,0.8828125
113,0.875969
114,0.8769231
115,0.8778626
115,0.8778626
116,0.8787879
117,0.8796992
118,0.880597
119,0.8814815
119,0.8814815
120,0.8823529
120,0.8823529
121,0.8832117
121,0.8832117
122,0.884058
122,0.884058
123,0.8848921
124,0.8857143
124,0.8857143
124,0.8857143
125,0.8865248
126,0.8873239
127,0.8881119
128,0.8888889
129,0.8896552
130,0.890411
130,0.8843538
131,0.8851351
131,0.8791946
131,0.8791946
132,0.88
133,0.8807947
134,0.8815789
135,0.8823529
136,0.8831169
136,0.8831169
137,0.883871
138,0.8846154
138,0.8846154
139,0.8853503
140,0.886076
